Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1111,Hair cut   -Premium,MEN,1,0,,310,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1112,Hair cut  - Executive,MEN,1,0,,400,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1113,Hair Wash& Conditioning,MEN,1,0,,200,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1114,Beard Trim,MEN,1,0,,140,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1115,Beard Styling,MEN,1,0,,170,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1116,Head shave,MEN,1,0,,400,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1117,Shave,MEN,1,0,,140,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1118,Head massage,MEN,1,0,,495,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1119,Kids cut -Premium  (below 8 years old ),KIDS BOYS,1,0,,190,,,Nos,GST18,INCLUSIVE,,service,HAIR (B),,,,,,,
1120,Kids cut -Executive  (below 8 years old ),KIDS BOYS,1,0,,290,,,Nos,GST18,INCLUSIVE,,service,HAIR (B),,,,,,,
1121,moustache colouring,MEN,1,0,,200,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1122,Beard colouring ,MEN,1,0,,450,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1123,Beard &moustache colouring,MEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1124,KIDS CUT(BELOW-5YEARS OLD),KIDS GIRLS,1,0,,350,,,Nos,GST18,INCLUSIVE,,service,HAIR (G),,,,,,,
1125,HAIR TRIM(including shampoo&conditioning),WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1126,HAIR  FRINGE CUT,WOMEN,1,0,,250,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1127,MODISH HAIR CUT,WOMEN,1,0,,1000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1128,Face &Neck,MEN/WOMEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1129,Face Neck & blouseline,WOMEN,1,0,,780,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1130,Under Arms,WOMEN,1,0,,220,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1131,Half  Arms,MEN/WOMEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1132,Full Arms,MEN/WOMEN,1,0,,985,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1133,Half legs,MEN/WOMEN,1,0,,690,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1134,Full legs,MEN/WOMEN,1,0,,1150,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1135,Feet,WOMEN,1,0,,530,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1136,Half Back[or]Front,WOMEN,1,0,,770,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1137,Full Back [or]Front,WOMEN,1,0,,1000,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1138,Full body ,MEN/WOMEN,1,0,,4100,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1139,Face &Neck,WOMEN,1,0,,490,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1140,Face Neck & blouseline,WOMEN,1,0,,555,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1141,upper lip,WOMEN,1,0,,80,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1142,Under Arms,WOMEN,1,0,,170,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1143,Half  Arms,WOMEN,1,0,,275,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1144,Full Arms,WOMEN,1,0,,530,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1145,Half legs,WOMEN,1,0,,522,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1146,Full legs,WOMEN,1,0,,860,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1147,Feet,WOMEN,1,0,,275,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1148,Half Back[or]Front,WOMEN,1,0,,660,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1149,Full Back [or]Front,WOMEN,1,0,,860,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1150,Body Polish,WOMEN,1,0,,4000,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1151,Body Wrap,WOMEN,1,0,,1800,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1152,Full Arms Polish,WOMEN,1,0,,1055,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1153,Full Back Polish,WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1154,Back & Neck ,MEN/WOMEN,1,0,,700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1155,Full Hand ,MEN/WOMEN,1,0,,450,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1156,Half Legs,MEN/WOMEN,1,0,,700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1157,Feet ,MEN/WOMEN,1,0,,400,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1158,Eyebrow,WOMEN,1,0,,80,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1159,Upperlip,WOMEN,1,0,,55,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1160,Chin,WOMEN,1,0,,65,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1161,Chin with Heavy Growth,WOMEN,1,0,,75,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1162,Forehead,WOMEN,1,0,,65,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1163,Cheek,WOMEN,1,0,,80,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1164,Sides,WOMEN,1,0,,125,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1165,Full face,WOMEN,1,0,,300,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1166,Full Face,WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1167,Upper Lips,WOMEN,1,0,,150,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1168,Sides With Heavy Growth,WOMEN,1,0,,180,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1169,Chin with Heavy Growth,WOMEN,1,0,,180,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1170,Lower Lips,WOMEN,1,0,,150,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1171,Sides,WOMEN,1,0,,150,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1172,Chin,WOMEN,1,0,,160,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1173,Underams,WOMEN,1,0,,250,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1174,Bikini,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1175,Half arms,WOMEN,1,0,,350,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1176,Full arms,WOMEN,1,0,,450,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1177,Under Arms,WOMEN,1,0,,150,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1178,Half leg,WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1179,Full leg,WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1180,Lower back/Upper Back/midriff,WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1181,Full Back,WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1182,Full Body,WOMEN,1,0,,2200,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1183,Half arms,WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1184,Full arms,WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1185,Under Arms,WOMEN,1,0,,250,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1186,Half leg,WOMEN,1,0,,750,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1187,Full leg,WOMEN,1,0,,950,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1188,Lower back/Upper Back/midriff,WOMEN,1,0,,1050,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1189,Full Back,WOMEN,1,0,,1250,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1190,Full Body,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,SKIN (W),,,,,,,
1191,Acne Face Clean-Up,MEN/WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1192,Skin Lightning Face clean up,MEN/WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1193,Fair bloom Facial,MEN/WOMEN,1,0,,2200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1194,Skin Lightening Advance Facial,MEN/WOMEN,1,0,,3200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1195,Dermo Spa,MEN/WOMEN,1,0,,4000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1196,Bridal Facial  ,MEN/WOMEN,1,0,,4400,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1197,Gold Facial,MEN/WOMEN,1,0,,2000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1198,Moraccan gold,MEN/WOMEN,1,0,,2700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1199,O2C2 Radiance Facial,MEN/WOMEN,1,0,,3900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1200,Platinum Glow  Facial,MEN/WOMEN,1,0,,2700,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1201,Burrberry Facial,MEN/WOMEN,1,0,,2900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1202,Dead sea mineral,MEN/WOMEN,1,0,,2800,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1203,Vitamin-C Facial,MEN/WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1204,anti agening  stem cells facial,MEN/WOMEN,1,0,,4220,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1205,Sensi balance,MEN/WOMEN,1,0,,2300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1206,Fair glow,MEN/WOMEN,1,0,,2900,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1207,HYDRA FACIAL,MEN/WOMEN,1,0,,6000,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1208,"Cut ,File ",MEN/WOMEN,1,0,,200,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1209,Classic pedicure ,MEN/WOMEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1210,Paraffin pedicure,MEN/WOMEN,1,0,,750,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1211,Chocolate foot spa,MEN/WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1212,Crystal crush pedicure (Rose.aloevera.strawberry),MEN/WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1213,Dead sea pedicure,MEN/WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1214,Ice cream signature pedicure ,MEN/WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1215,Classic manicure,MEN/WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1216,Paraffin Manicure,MEN/WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1217,Crystal crush manicure (Rose.Aloe vera & strawberry),MEN/WOMEN,1,0,,950,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1218,Chocolate SPA Manicure,MEN/WOMEN,1,0,,950,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1219,Dead sea manicure,MEN/WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1220,Ice cream signature manicure,MEN/WOMEN,1,0,,1400,,,Nos,GST18,INCLUSIVE,,service,SKIN (MW),,,,,,,
1221,ROOT TOUCH UP[max1.5inch],WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1222,ROOT TOUCH UP-NON AMMONIA,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1223,GLOBAL COLOURING-AMMONIA,MEN,1,0,,1000,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1224,GLOBAL COLOURING-NON AMMONIA,MEN,1,0,,1200,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1225,FASHION,MEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1226,PARTIAL HEAD HIGHLIGHT,MEN,1,0,,1800,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1227,FULL HEAD  HIGHLIGHTS,MEN,1,0,,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1228,HAIR SPA,MEN,1,0,,955,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1229,Anti-Dandruff Treatment,MEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1230,Anti-Hairfall Treatment,MEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (M),,,,,,,
1231,SHAMPOO & CONDITIONING-S,WOMEN,1,0,,350,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1232,SHAMPOO & CONDITIONING-M,WOMEN,1,0,,400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1233,SHAMPOO & CONDITIONING-L,WOMEN,1,0,,450,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1234,HAIR WASH&STYLING - S,WOMEN,1,0,,600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1235,HAIR WASH&STYLING-M,WOMEN,1,0,,700,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1236,HAIR WASH&STYLING-L,WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1237,HEAD OIL MASSAGE  - S,WOMEN,1,0,,550,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1238,HEAD OIL MASSAGE-M,WOMEN,1,0,,650,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1239,HEAD OIL MASSAGE-L,WOMEN,1,0,,750,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1240,VOLUME BLOW DRY-M,WOMEN,1,0,,800,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1241,VOLUME BLOW DRY-L,WOMEN,1,0,,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1242,TONGS-M,WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1243,TONGS-L,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1244,FLAT IRONING - S,WOMEN,1,0,,900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1245,FLAT IRONING-M,WOMEN,1,0,,1100,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1246,FLAT IRONING-L,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1247,GLOBAL COLOURING-AMMONIA - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1248,GLOBAL COLOURING-AMMONIA-M,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1249,GLOBAL COLOURING-AMMONIA-L,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1250,GLOBAL COLOURING-NON AMMONIA - S,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1251,GLOBAL COLOURING-NON AMMONIA-M,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1252,GLOBAL COLOURING-NON AMMONIA-L,WOMEN,1,0,,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1253,FASHION - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1254,FASHION-M,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1255,FASHION-L,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1256,PARTIAL HEAD HIGHLIGHT - S,WOMEN,1,0,,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1257,PARTIAL HEAD HIGHLIGHT-M,WOMEN,1,0,,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1258,PARTIAL HEAD HIGHLIGHT-L,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1259,FULL HEAD  HIGHLIGHTS - S,WOMEN,1,0,,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1260,FULL HEAD  HIGHLIGHTS-M,WOMEN,1,0,,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1261,FULL HEAD  HIGHLIGHTS-L,WOMEN,1,0,,6500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1262,CREATIVE COLOUR,WOMEN,1,0,,0,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1263,HAIR SPA - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1264,HAIR SPA-M,WOMEN,1,0,,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1265,HAIR SPA-L,WOMEN,1,0,,1700,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1266,Anti-Dandruff Treatment - S,WOMEN,1,0,,2000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1267,Anti-Dandruff Treatment-M,WOMEN,1,0,,2200,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1268,Anti-Dandruff Treatment-L,WOMEN,1,0,,2400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1269,Anti-Hairfall Treatment - S,WOMEN,1,0,,2000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1270,Anti-Hairfall Treatment-M,WOMEN,1,0,,2200,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1271,Anti-Hairfall Treatment-L,WOMEN,1,0,,2400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1272,SMOOTHENING - S,WOMEN,1,0,,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1273,SMOOTHENING-M,WOMEN,1,0,,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1274,SMOOTHENING-L,WOMEN,1,0,,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1275,M-BOTOX - S,WOMEN,1,0,,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1276,M-BOTOX-M,WOMEN,1,0,,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1277,M-BOTOX-L,WOMEN,1,0,,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1278,M-PLASTIA - S,WOMEN,1,0,,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1279,M-PLASTIA-M,WOMEN,1,0,,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1280,M-PLASTIA-L,WOMEN,1,0,,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1281,M-KERATIN - S,WOMEN,1,0,,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1282,M-KERATIN-M,WOMEN,1,0,,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1283,M-KERATIN-L,WOMEN,1,0,,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1284,KERATIN  REFILING TREATMENT - S,WOMEN,1,0,,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1285,KERATIN  REFILING TREATMENT-M,WOMEN,1,0,,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1286,KERATIN  REFILING TREATMENT-L,WOMEN,1,0,,4000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1287,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1288,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR-M,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1289,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR-L,WOMEN,1,0,,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1290,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1291,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR-M,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1292,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR-L,WOMEN,1,0,,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1293,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1294,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR-M,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1295,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR-L,WOMEN,1,0,,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1296,TRIBOND COLLAGEN VOLUME FINE HAIR - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1297,TRIBOND COLLAGEN VOLUME FINE HAIR-M,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1298,TRIBOND COLLAGEN VOLUME FINE HAIR-L,WOMEN,1,0,,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1299,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR-L,WOMEN,1,0,,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1300,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR - S,WOMEN,1,0,,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1301,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR-M,WOMEN,1,0,,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,